Latitude,Longitude,Station,Zone
51.5795,-0.3533,West Harrow,5
51.507,-0.0203,West India Quay,2
51.4907,-0.2065,West Kensington,2
51.5696,-0.4376,West Ruislip,6
51.5027,0.0226,West Silvertown,3
51.521,-0.2011,Westbourne Park,2
51.5097,-0.0265,Westferry,2
51.501,-0.1254,Westminster,1
51.512,-0.2239,White City,2
51.5194,-0.0612,Whitechapel,2
51.5492,-0.2215,Willesden Green,2.5
51.5326,-0.2478,Willesden Junction,2.5
51.4214,-0.2064,Wimbledon,3
51.4343,-0.1992,Wimbledon Park,3
51.5975,-0.1097,Wood Green,3
51.510031,-0.224301,Wood Lane,2
51.607,0.0341,Woodford,4
51.6179,-0.1856,Woodside Park,4
